id,pop,Locale,Population,Sex,
YFRW001,Ray,Grey Range,Queensland,M,
YFRW002,Ray,Grey Range,Queensland,F,
YFRW003,Ray,Grey Range,Queensland,F,
YFRW004,Ray,Grey Range,Queensland,F,
YFRW005,Ray,Grey Range,Queensland,M,
YFRW006,Ray,Grey Range,Queensland,F,
YFRW007,Ray,Grey Range,Queensland,F,
YFRW008,Alaric,Grey Range,Queensland,M,
YFRW009,Alaric,Grey Range,Queensland,M,
YFRW010,Alaric,Grey Range,Queensland,F,
YFRW011,Alaric,Grey Range,Queensland,M,
YFRW012,Alaric,Grey Range,Queensland,M,
YFRW013,Alaric,Grey Range,Queensland,M,
YFRW014,Alaric,Grey Range,Queensland,F,
YFRW015,Alaric,Grey Range,Queensland,M,
YFRW016,Alaric,Grey Range,Queensland,M,
YFRW017,Alaric,Grey Range,Queensland,M,
YFRW018,Alaric,Grey Range,Queensland,F,
YFRW019a,Alaric,Grey Range,Queensland,F,
YFRW019b,Alaric,Grey Range,Queensland,M,
YFRW020,Alaric,Grey Range,Queensland,M,
YFRW021,Alaric,Grey Range,Queensland,M,
YFRW022,Alaric,Grey Range,Queensland,F,
YFRW023,Alaric,Grey Range,Queensland,M,
YFRW024,Alaric,Grey Range,Queensland,M,
YFRW025,Yandinga,Gawler Range,South Australia,F,
YFRW026,Yandinga,Gawler Range,South Australia,M,
YFRW027,Yandinga,Gawler Range,South Australia,F,
YFRW028,Yandinga,Gawler Range,South Australia,F,
YFRW029,Yandinga,Gawler Range,South Australia,M,
YFRW030,Yandinga,Gawler Range,South Australia,M,
YFRW031,Yandinga,Gawler Range,South Australia,M,
YFRW032,Yandinga,Gawler Range,South Australia,F,
YFRW033,Yandinga,Gawler Range,South Australia,F,
YFRW034,Yandinga,Gawler Range,South Australia,F,
YFRW035,Yandinga,Gawler Range,South Australia,F,
YFRW036,Yandinga,Gawler Range,South Australia,M,
YFRW037,Yandinga,Gawler Range,South Australia,F,
YFRW038,Yandinga,Gawler Range,South Australia,F,
YFRW039,Yandinga,Gawler Range,South Australia,F,
YFRW040,Yandinga,Gawler Range,South Australia,M,
YFRW041,Yandinga,Gawler Range,South Australia,M,
YFRW042,Yandinga,Gawler Range,South Australia,F,
YFRW043,Yandinga,Gawler Range,South Australia,F,
YFRW044,Stone Dam,Gawler Range,South Australia,M,
YFRW045,Stone Dam,Gawler Range,South Australia,M,
YFRW046,Stone Dam,Gawler Range,South Australia,M,
YFRW047,Stone Dam,Gawler Range,South Australia,M,
YFRW048,Stone Dam,Gawler Range,South Australia,F,
YFRW049,Stone Dam,Gawler Range,South Australia,M,
YFRW050,Coolgundibie,Gawler Range,South Australia,F,
YFRW051,Coolgundibie,Gawler Range,South Australia,F,
YFRW052,Coolgundibie,Gawler Range,South Australia,F,
YFRW053,Coolgundibie,Gawler Range,South Australia,F,
YFRW054,Coolgundibie,Gawler Range,South Australia,F,
YFRW055,Coolgundibie,Gawler Range,South Australia,F,
YFRW056,Coolgundibie,Gawler Range,South Australia,M,
YFRW078,Coolgundibie,Gawler Range,South Australia,M,
YFRW058,Coolgundibie,Gawler Range,South Australia,M,
YFRW059,Coolgundibie,Gawler Range,South Australia,F,
YFRW060,Coolgundibie,Gawler Range,South Australia,M,
YFRW061,Organ Pipes,Gawler Range,South Australia,M,
YFRW062,Organ Pipes,Gawler Range,South Australia,F,
YFRW063,Organ Pipes,Gawler Range,South Australia,M,
YFRW064,Organ Pipes,Gawler Range,South Australia,F,
YFRW065,Organ Pipes,Gawler Range,South Australia,M,
YFRW066,Organ Pipes,Gawler Range,South Australia,M,
YFRW067,Organ Pipes,Gawler Range,South Australia,M,
YFRW068,Organ Pipes,Gawler Range,South Australia,F,
YFRW069,Organ Pipes,Gawler Range,South Australia,M,
YFRW070,Organ Pipes,Gawler Range,South Australia,F,
YFRW071,Organ Pipes,Gawler Range,South Australia,M,
YFRW072,Organ Pipes,Gawler Range,South Australia,M,
YFRW073,Waukawoodna Gap,Flinders Ranges,South Australia,M,
YFRW074,Waukawoodna Gap,Flinders Ranges,South Australia,M,
YFRW075,Waukawoodna Gap,Flinders Ranges,South Australia,F,
YFRW076,Waukawoodna Gap,Flinders Ranges,South Australia,F,
YFRW077,Waukawoodna Gap,Flinders Ranges,South Australia,M,
YFRW057,Waukawoodna Gap,Flinders Ranges,South Australia,M,
YFRW079,Waukawoodna Gap,Flinders Ranges,South Australia,M,
YFRW080,Waukawoodna Gap,Flinders Ranges,South Australia,F,
YFRW081,Waukawoodna Gap,Flinders Ranges,South Australia,M,
YFRW082,Waukawoodna Gap,Flinders Ranges,South Australia,F,
YFRW084,Waukawoodna Gap,Flinders Ranges,South Australia,M,
YFRW085,Waukawoodna Gap,Flinders Ranges,South Australia,F,
YFRW086,Waukawoodna Gap,Flinders Ranges,South Australia,M,
YFRW087,Waukawoodna Gap,Flinders Ranges,South Australia,M,
YFRW088,Waukawoodna Gap,Flinders Ranges,South Australia,F,
YFRW089,Waukawoodna Gap,Flinders Ranges,South Australia,M,
YFRW090,Waukawoodna Gap,Flinders Ranges,South Australia,F,
YFRW091,Waukawoodna Gap,Flinders Ranges,South Australia,F,
YFRW092,Waukawoodna Gap,Flinders Ranges,South Australia,F,
YFRW093,Waukawoodna Gap,Flinders Ranges,South Australia,M,
YFRW094,Waukawoodna Gap,Flinders Ranges,South Australia,M,